imdb_rating,imdb_votes,director,year,title
7.9,"1,486,308",James Cameron,2009,Avatar
7.2,"743,246",Gore Verbinski,2007,Pirates of the Caribbean: At World's End
6.8,"493,010",Sam Mendes,2015,Spectre
8.4,"1,990,749",Christopher Nolan,2012,The Dark Knight Rises
6.6,"294,974",Andrew Stanton,2012,John Carter
6.3,"692,051",Sam Raimi,2007,Spider-Man 3
7.7,"540,207","Nathan Greno, Byron Howard",2010,Tangled
7.3,"998,463",Joss Whedon,2015,Avengers: Age of Ultron
7.6,"653,701",David Yates,2009,Harry Potter and the Half-Blood Prince
6.4,"790,738",Zack Snyder,2016,Batman v Superman: Dawn of Justice
6.1,"302,225",Bryan Singer,2006,Superman Returns
6.5,"494,408",Marc Forster,2008,Quantum of Solace
7.4,"825,206",Gore Verbinski,2006,Pirates of the Caribbean: Dead Man's Chest
6.4,"252,056",Gore Verbinski,2013,The Lone Ranger
7.1,"865,769",Zack Snyder,2013,Man of Steel
6.5,"238,224",Andrew Adamson,2008,The Chronicles of Narnia: Prince Caspian
8.0,"1,555,308",Joss Whedon,2012,The Avengers
6.6,"606,603",Rob Marshall,2011,Pirates of the Caribbean: On Stranger Tides
7.9,7,Rick Tugman,2012,Men in Black 3
7.4,"617,163",Peter Jackson,2014,The Hobbit: The Battle of the Five Armies
6.9,"763,493",Marc Webb,2012,The Amazing Spider-Man
6.6,"294,277",Ridley Scott,2010,Robin Hood
7.8,"752,978",Peter Jackson,2013,The Hobbit: The Desolation of Smaug
6.1,"199,671",Chris Weitz,2007,The Golden Compass
7.2,"465,049",Peter Jackson,2005,King Kong
8.0,"1,389,357",James Cameron,1997,Titanic
7.8,"925,892","Anthony Russo, Joe Russo",2016,Captain America: Civil War
5.8,"268,384",Peter Berg,2012,Battleship
6.9,"723,175",Colin Trevorrow,2015,Jurassic World
7.8,"768,360",Sam Mendes,2012,Skyfall
7.5,"777,496",Sam Raimi,2004,Spider-Man 2
7.1,"964,747",Shane Black,2013,Iron Man 3
6.4,"464,214",Tim Burton,2010,Alice in Wonderland
6.6,"571,579",Brett Ratner,2006,X-Men: The Last Stand
7.2,"421,121",Dan Scanlon,2013,Monsters University
6.0,"451,650",Michael Bay,2009,Transformers: Revenge of the Fallen
5.6,"347,982",Michael Bay,2014,Transformers: Age of Extinction
6.3,"220,679",Sam Raimi,2013,Oz: The Great and Powerful
6.6,"588,917",Marc Webb,2014,The Amazing Spider-Man 2
6.8,"386,829",Joseph Kosinski,2010,TRON: Legacy
6.2,"251,842","John Lasseter, Bradford Lewis",2011,Cars 2
5.5,"307,536",Martin Campbell,2011,Green Lantern
8.3,"961,588",Lee Unkrich,2010,Toy Story 3
